,Unnamed: 0,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,running_time,Found,ground_truth,prediction,scaled_cf_age,scaled_cf_priors_count,scaled_cf_days_b_screening_arrest,scaled_cf_length_of_stay,scaled_cf_age_cat,scaled_cf_sex,scaled_cf_race,scaled_cf_c_charge_degree,scaled_cf_is_recid,scaled_cf_is_violent_recid,scaled_cf_two_year_recid,scaled_cf_class,origin_cf_age,origin_cf_priors_count,origin_cf_days_b_screening_arrest,origin_cf_length_of_stay,origin_cf_age_cat,origin_cf_sex,origin_cf_race,origin_cf_c_charge_degree,origin_cf_is_recid,origin_cf_is_violent_recid,origin_cf_two_year_recid,origin_cf_class
2,0,0.3333333333333333,0.0,0.0009460737937559,0.0025031289111389,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,76.22344303131104,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0.3333333333333333,0.0,0.0009460737937559,0.0025031289111389,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,76.27314305305481,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0.3333333333333333,0.0,0.0009460737937559,0.0025031289111389,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,74.56945276260376,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0.3333333333333333,0.0,0.0009460737937559,0.0025031289111389,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,79.15065813064575,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0.3333333333333333,0.0,0.0009460737937559,0.0025031289111389,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,73.44210600852966,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0.141025641025641,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,77.07898187637329,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0.141025641025641,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,76.7150468826294,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0.141025641025641,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,75.8139340877533,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0.141025641025641,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,78.05301094055176,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0.141025641025641,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,73.25249528884888,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0.141025641025641,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,76.1338210105896,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0.141025641025641,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,76.20304298400879,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0.141025641025641,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,75.28989315032959,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0.141025641025641,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,77.27783918380737,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0.141025641025641,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,74.02088975906372,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0.0769230769230769,0.0526315789473684,0.0009460737937559,0.0037546933667083,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,75.89290118217468,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0.0769230769230769,0.0526315789473684,0.0009460737937559,0.0037546933667083,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,75.98755192756653,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0.0769230769230769,0.0526315789473684,0.0009460737937559,0.0037546933667083,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,74.6833438873291,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0.0769230769230769,0.0526315789473684,0.0009460737937559,0.0037546933667083,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,78.88581585884094,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0.0769230769230769,0.0526315789473684,0.0009460737937559,0.0037546933667083,Less than 25,Male,African-American,M,0,0,0,Medium-Low,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,Medium-Low,74.23932385444641,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0.0769230769230769,0.0,0.0,0.0012515644555694,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,76.4766960144043,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0.0769230769230769,0.0,0.0,0.0012515644555694,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,75.48312211036682,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0.0769230769230769,0.0,0.0,0.0012515644555694,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,76.08296704292297,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0.0769230769230769,0.0,0.0,0.0012515644555694,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,89.77935409545898,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0.0769230769230769,0.0,0.0,0.0012515644555694,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,73.34112095832825,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0.1794871794871795,0.0,0.0,0.0012515644555694,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,76.41555213928223,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0.1794871794871795,0.0,0.0,0.0012515644555694,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,76.01487684249878,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0.1794871794871795,0.0,0.0,0.0012515644555694,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,74.9696958065033,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0.1794871794871795,0.0,0.0,0.0012515644555694,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,82.86179113388062,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0.1794871794871795,0.0,0.0,0.0012515644555694,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,73.65711212158203,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0.0897435897435897,0.0526315789473684,0.0009460737937559,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,78.4571840763092,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0.0897435897435897,0.0526315789473684,0.0009460737937559,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,75.58377504348755,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0.0897435897435897,0.0526315789473684,0.0009460737937559,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,75.1050169467926,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0.0897435897435897,0.0526315789473684,0.0009460737937559,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,82.39128232002258,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0.0897435897435897,0.0526315789473684,0.0009460737937559,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,73.89054107666016,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0.2435897435897435,0.1052631578947368,0.0009460737937559,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,76.02804589271545,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0.2435897435897435,0.1052631578947368,0.0009460737937559,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,75.80179595947266,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0.2435897435897435,0.1052631578947368,0.0009460737937559,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,74.82378387451172,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0.2435897435897435,0.1052631578947368,0.0009460737937559,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,78.31160998344421,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0.2435897435897435,0.1052631578947368,0.0009460737937559,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,73.91424512863159,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0.1153846153846153,0.1052631578947368,0.0009460737937559,0.0413016270337922,25 - 45,Male,African-American,F,0,0,0,Medium-Low,27.0,4.0,1.0,33.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,76.87526893615723,N,High,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0.1153846153846153,0.1052631578947368,0.0009460737937559,0.0413016270337922,25 - 45,Male,African-American,F,0,0,0,Medium-Low,27.0,4.0,1.0,33.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,75.25473523139954,N,High,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0.1153846153846153,0.1052631578947368,0.0009460737937559,0.0413016270337922,25 - 45,Male,African-American,F,0,0,0,Medium-Low,27.0,4.0,1.0,33.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,75.3220727443695,N,High,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0.1153846153846153,0.1052631578947368,0.0009460737937559,0.0413016270337922,25 - 45,Male,African-American,F,0,0,0,Medium-Low,27.0,4.0,1.0,33.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,79.54708814620972,N,High,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0.1153846153846153,0.1052631578947368,0.0009460737937559,0.0413016270337922,25 - 45,Male,African-American,F,0,0,0,Medium-Low,27.0,4.0,1.0,33.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,73.72600293159485,N,High,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0.1923076923076923,0.0263157894736842,0.0009460737937559,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,33.0,1.0,1.0,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,75.87457585334778,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0.1923076923076923,0.0263157894736842,0.0009460737937559,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,33.0,1.0,1.0,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,75.6467227935791,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0.1923076923076923,0.0263157894736842,0.0009460737937559,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,33.0,1.0,1.0,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,75.01472091674805,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0.1923076923076923,0.0263157894736842,0.0009460737937559,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,33.0,1.0,1.0,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,81.54988384246826,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0.1923076923076923,0.0263157894736842,0.0009460737937559,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,33.0,1.0,1.0,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,73.91229224205017,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0.1153846153846153,0.1052631578947368,0.2838221381267738,0.0,25 - 45,Male,African-American,M,1,0,1,High,27.0,4.0,300.0,0.0,25 - 45,Male,African-American,M,1,0,1,High,75.91070795059204,Y,High,High,0.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low,18.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low
12,0,0.1153846153846153,0.1052631578947368,0.2838221381267738,0.0,25 - 45,Male,African-American,M,1,0,1,High,27.0,4.0,300.0,0.0,25 - 45,Male,African-American,M,1,0,1,High,76.25681400299072,Y,High,High,0.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low,18.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low
12,0,0.1153846153846153,0.1052631578947368,0.2838221381267738,0.0,25 - 45,Male,African-American,M,1,0,1,High,27.0,4.0,300.0,0.0,25 - 45,Male,African-American,M,1,0,1,High,75.09813904762268,Y,High,High,0.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low,18.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low
12,0,0.1153846153846153,0.1052631578947368,0.2838221381267738,0.0,25 - 45,Male,African-American,M,1,0,1,High,27.0,4.0,300.0,0.0,25 - 45,Male,African-American,M,1,0,1,High,78.45272207260132,Y,High,High,0.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low,18.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low
12,0,0.1153846153846153,0.1052631578947368,0.2838221381267738,0.0,25 - 45,Male,African-American,M,1,0,1,High,27.0,4.0,300.0,0.0,25 - 45,Male,African-American,M,1,0,1,High,73.53212594985962,Y,High,High,0.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low,18.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low
13,0,0.1025641025641025,0.0526315789473684,0.0009460737937559,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,75.81920123100281,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0.1025641025641025,0.0526315789473684,0.0009460737937559,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,76.22400784492493,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0.1025641025641025,0.0526315789473684,0.0009460737937559,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,74.84697008132935,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0.1025641025641025,0.0526315789473684,0.0009460737937559,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,80.95860886573792,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0.1025641025641025,0.0526315789473684,0.0009460737937559,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,73.65603303909302,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0.2051282051282051,0.0526315789473684,0.0,0.0012515644555694,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,34.0,2.0,0.0,1.0,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,75.93555974960327,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0.2051282051282051,0.0526315789473684,0.0,0.0012515644555694,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,34.0,2.0,0.0,1.0,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,75.83586573600769,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0.2051282051282051,0.0526315789473684,0.0,0.0012515644555694,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,34.0,2.0,0.0,1.0,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,74.8903877735138,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0.2051282051282051,0.0526315789473684,0.0,0.0012515644555694,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,34.0,2.0,0.0,1.0,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,81.7067198753357,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0.2051282051282051,0.0526315789473684,0.0,0.0012515644555694,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,34.0,2.0,0.0,1.0,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,73.0104467868805,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0.3205128205128205,0.1052631578947368,0.0,0.0025031289111389,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,42.99999999999999,4.0,0.0,2.0,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,76.37783193588257,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0.3205128205128205,0.1052631578947368,0.0,0.0025031289111389,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,42.99999999999999,4.0,0.0,2.0,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,75.61499977111816,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0.3205128205128205,0.1052631578947368,0.0,0.0025031289111389,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,42.99999999999999,4.0,0.0,2.0,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,75.707998752594,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
