,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,running_time,Found,ground_truth,prediction,scaled_cf_age,scaled_cf_priors_count,scaled_cf_days_b_screening_arrest,scaled_cf_length_of_stay,scaled_cf_age_cat,scaled_cf_sex,scaled_cf_race,scaled_cf_c_charge_degree,scaled_cf_is_recid,scaled_cf_is_violent_recid,scaled_cf_two_year_recid,scaled_cf_class,origin_cf_age,origin_cf_priors_count,origin_cf_days_b_screening_arrest,origin_cf_length_of_stay,origin_cf_age_cat,origin_cf_sex,origin_cf_race,origin_cf_c_charge_degree,origin_cf_is_recid,origin_cf_is_violent_recid,origin_cf_two_year_recid,origin_cf_class
0,0.11538461538461539,0.10526315789473684,0.000946073793755913,0.04130162703379224,25 - 45,Male,African-American,F,0,0,0,Medium-Low,27.0,4.0,1.0,33.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,79.54708814620972,N,High,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.19230769230769232,0.02631578947368421,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,33.0,1.0,1.0,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,81.54988384246826,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.11538461538461539,0.10526315789473684,0.28382213812677387,0.0,25 - 45,Male,African-American,M,1,0,1,High,27.0,4.0,300.0,0.0,25 - 45,Male,African-American,M,1,0,1,High,78.45272207260132,Y,High,High,0.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1,0,1,Medium-Low,18.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1,0,1,Medium-Low
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,80.95860886573792,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.20512820512820515,0.05263157894736842,0.0,0.0012515644555694619,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,34.0,2.0,0.0,1.0,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,81.7067198753357,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.3205128205128205,0.10526315789473684,0.0,0.0025031289111389237,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,42.99999999999999,4.0,0.0,2.0,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,76.36611986160278,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.24358974358974358,0.10526315789473684,0.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,37.0,4.0,0.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,76.2756359577179,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.15384615384615383,0.0,0.000946073793755913,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,30.0,0.0,1.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,76.31789326667786,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.4487179487179488,0.21052631578947367,0.000946073793755913,0.006257822277847309,Greater than 45,Male,African-American,F,1,0,1,Medium-Low,53.00000000000001,8.0,1.0,5.0,Greater than 45,Male,African-American,F,1,0,1,Medium-Low,75.64848709106445,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.41025641025641024,0.02631578947368421,0.000946073793755913,0.0012515644555694619,Greater than 45,Male,Caucasian,F,1,0,0,Medium-Low,50.0,1.0,1.0,1.0,Greater than 45,Male,Caucasian,F,1,0,0,Medium-Low,75.20378494262695,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
